,keyword,type,url,postdate,refNum,docdate,address,price
0,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-12-30,21123000410X2X,2021-12-23,"UNIT 8, FLOOR 2, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 2樓 8室","$1,100,000.00"
1,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-12-24,21122401450X2X,2021-12-13,"UNIT 8, FLOOR 2, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 2樓 8室","$1,100,000.00"
2,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-12-14,21121401190X5X,2021-12-04,"UNIT 22, FLOOR 5, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 5樓 22室","$780,000.00"
3,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-11-17,21111702110X1X,2021-10-29,"UNIT 51, FLOOR 3, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 3樓 51室","$950,000.00"
4,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-10-06,21100600140X8X,2021-09-24,"UNIT 12, FLOOR 5, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 5樓 12室","$728,000.00"
5,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-09-29,21092900920X8X,2021-09-17,"UNIT 22, FLOOR 4, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 4樓 22室","$960,000.00"
6,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-08-11,21081102010X8X,2021-08-04,"UNIT 53, FLOOR 5, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 5樓 53室","$730,000.00"
7,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-06-09,21060901720X2X,2021-06-02,"UNIT 12, FLOOR 3, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 3樓 12室","$1,030,000.00"
8,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-05-14,21051402570X7X,2021-04-28,"UNIT 26, FLOOR 5, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 5樓 26室","$1,000,000.00"
9,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-05-07,21050700800X5X,2021-04-26,"UNIT 33, FLOOR 5, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 5樓 33室","$638,000.00"
10,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-05-06,21050602250X9X,2021-04-23,"UNIT 48, FLOOR 4, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 4樓 48室","$990,000.00"
11,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-04-20,21042000350X2X,2021-04-14,"UNIT 44, FLOOR 5, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 5樓 44室","$930,000.00"
12,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-03-17,21031701140X2X,2021-03-05,"UNIT 41, FLOOR 5, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 5樓 41室","$748,000.00"
13,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-02-03,21020302000X7X,2021-01-27,"UNIT 55, FLOOR 5, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 5樓 55室","$638,000.00"
14,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-01-20,21012002260X0X,2021-01-14,"UNIT 22, FLOOR 4, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 4樓 22室","$820,000.00"
15,永利中心,P,https://property.hk/asking_detail/4109966.html,2021-01-08,21010801550X2X,2020-12-28,"UNIT 20, FLOOR 3, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 3樓 20室","$980,000.00"
16,永利中心,P,https://property.hk/asking_detail/4109966.html,2020-10-09,20100901780X2X,2020-09-30,"UNIT 51, FLOOR 4, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 4樓 51室","$960,000.00"
17,永利中心,P,https://property.hk/asking_detail/4109966.html,2020-09-28,20092801710X7X,2020-09-17,"UNIT 54, FLOOR 5, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 5樓 54室","$680,000.00"
18,永利中心,P,https://property.hk/asking_detail/4109966.html,2020-08-18,20081800550X2X,2020-07-28,"UNIT 21, FLOOR 4, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 4樓 21室","$968,000.00"
19,永利中心,P,https://property.hk/asking_detail/4109966.html,2020-05-07,20050701230X8X,2020-04-29,"UNIT 37, FLOOR 5, WINNER CTR, CHAI WAN RD 333<br>柴灣道333號, 永利中心, 5樓 37室","$700,000.00"
